Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
78,0,-0.00796193,-0.0239151,-0.026422,-1.37457,26.4313,59.5622
79,0,-0.0117515,-0.0280382,-0.0317327,-1.39028,26.9265,60.467
80,0,-0.00600421,-0.0296087,-0.0290102,-1.30437,27.3752,61.4381
81,0,-0.00440135,-0.0310191,-0.030133,-1.29242,27.7774,62.2926
82,0,0.000934318,-0.0364672,-0.0307732,-1.31791,28.3508,63.3563
83,0,0.00651487,-0.0340989,-0.0262678,-1.18364,28.8542,64.1759
84,0,0.0123082,-0.041686,-0.0245313,-0.997665,29.4044,65.1857
85,0,0.0115681,-0.0475616,-0.0270429,-1.04088,29.9644,66.3306
86,0,0.0110974,-0.0504012,-0.0259987,-0.877267,30.4398,67.2357
87,0,0.00969461,-0.0587963,-0.0267764,-0.989687,31.0022,68.4949
88,0,0.00752067,-0.055185,-0.0251978,-0.878615,31.4684,69.3585
89,0,0.00477028,-0.0643617,-0.0280473,-0.942567,31.9434,70.7305
90,0,0.0101776,-0.0580126,-0.0206922,-0.918207,32.4327,71.6548
91,0,0.0110851,-0.0609331,-0.0212737,-1.06583,32.9404,73.0669
92,0,0.0107514,-0.0588925,-0.0199245,-0.936949,33.5163,74.0808
93,0,0.00593486,-0.0578103,-0.0222945,-1.03697,33.9829,75.483
94,0,0.00747253,-0.0562934,-0.0183638,-1.14359,34.4552,76.752
95,0,0.00381207,-0.0556557,-0.0216071,-1.31436,35.0465,78.2143
96,0,0.00389146,-0.0513722,-0.0194837,-1.40334,35.4128,79.4954
97,0,0.00549119,-0.0526562,-0.0202897,-1.66592,35.9442,81.0636
98,0,0.00950778,-0.0475312,-0.0164424,-1.56724,36.4494,82.2754
99,0,0.00660923,-0.0491292,-0.0182462,-1.80352,36.9125,83.8431
100,0,0.0114204,-0.0468214,-0.0119058,-1.89617,37.4598,85.2725
101,0,0.0114613,-0.0466547,-0.0140964,-2.15112,37.9325,86.7852
102,0,0.0161131,-0.0490655,-0.0127752,-2.22788,38.46,88.3717
103,0,0.0163263,-0.0456953,-0.0114093,-2.58771,38.952,89.9297
104,0,0.0146243,-0.0501177,-0.0138134,-2.84623,39.379,91.6157
105,0,0.0170942,-0.0472789,-0.00800736,-3.06255,39.7649,93.2502
106,0,0.0142987,-0.0476514,-0.0106709,-3.31476,40.2472,94.8658
107,0,0.0135934,-0.0482492,-0.01096,-3.65447,40.7554,96.6667
108,0,0.017965,-0.0470593,-0.00855838,-3.85417,41.1814,98.3158
109,0,0.0144701,-0.0474823,-0.0108762,-4.14962,41.6758,100.083
110,0,0.0135418,-0.0459106,-0.00901612,-4.4029,42.0451,101.942
111,0,0.0158711,-0.0397991,-0.00754624,-4.59278,42.5074,103.503
112,0,0.0157978,-0.0393592,-0.0103311,-4.90103,42.9178,105.551
113,0,0.0210308,-0.0345147,-0.0103456,-5.18791,43.3451,107.385
114,0,0.019918,-0.0271561,-0.00604113,-5.57273,43.5974,109.226
115,0,0.018389,-0.0257257,-0.00776219,-5.9147,43.9755,111.231
116,0,0.0244163,-0.0228672,-0.00558442,-6.04891,44.4168,113.082
117,0,0.0254292,-0.0199051,-0.0061554,-6.40567,44.701,115.09
118,0,0.02528,-0.018461,-0.0071979,-6.71788,45.1408,117.086
119,0,0.0245861,-0.0160148,-0.00828133,-7.01936,45.3809,119.046
120,0,0.0257759,-0.0132315,-0.00595085,-7.06798,45.6739,120.808
121,0,0.0233716,-0.0150193,-0.00513766,-7.54895,45.8293,122.977
122,0,0.0244754,-0.0172193,-0.00766775,-7.67088,46.2563,124.975
123,0,0.0258711,-0.0184844,-0.00617408,-7.88043,46.4499,126.945
124,0,0.0257462,-0.0202751,-0.00535266,-8.07216,46.759,128.945
125,0,0.0224182,-0.0204384,-0.00719515,-8.34956,46.9556,131.008
126,0,0.0244834,-0.0260368,-0.0094917,-8.60846,47.1337,133.13
127,0,0.0252162,-0.0247947,-0.00436987,-8.69837,47.2753,135.01
128,0,0.0242657,-0.0251403,-0.00466122,-8.75119,47.4076,136.992
129,0,0.0256538,-0.027741,-0.0046554,-8.97934,47.6059,139.121
130,0,0.0245019,-0.0310468,-0.00614714,-9.25073,47.7294,141.388
131,0,0.0255055,-0.0311174,-0.00577238,-9.26057,47.8845,143.425
132,0,0.0257667,-0.0287913,-0.00416861,-9.39862,48.0138,145.542
133,0,0.0257031,-0.0312325,-0.00610564,-9.64928,48.2223,147.88
134,0,0.0201899,-0.0311859,-0.011278,-9.85389,48.2774,150.209
135,0,0.0210926,-0.0285292,-0.00972033,-10.1776,48.2674,152.493
136,0,0.0213695,-0.0266,-0.00968621,-10.2048,48.3803,154.673
137,0,0.0215037,-0.0239795,-0.00981019,-10.3863,48.4663,157.061
138,0,0.0184251,-0.0230657,-0.0121652,-10.5861,48.5225,159.419
139,0,0.0194372,-0.0190633,-0.0129509,-10.8171,48.5047,161.805
140,0,0.022188,-0.021455,-0.0112026,-10.9177,48.491,164.146
141,0,0.0235339,-0.0180302,-0.00731202,-10.8566,48.5068,166.293
142,0,0.0224043,-0.0163355,-0.00639648,-10.948,48.4383,168.682
143,0,0.0215923,-0.0192983,-0.0081927,-11.0369,48.4632,171.137
144,0,0.0180876,-0.0200291,-0.0109174,-11.2478,48.4376,173.623
145,0,0.0139328,-0.0215686,-0.0143664,-11.3855,48.3872,176.008
146,0,0.014554,-0.0229288,-0.0133012,-11.4739,48.3353,178.504
147,0,0.0127885,-0.0237423,-0.0144853,-11.428,48.249,180.891
148,0,0.0138916,-0.0146743,-0.00351616,-11.8698,47.8009,183.492
149,0,0.0135037,-0.0174848,-0.00380293,-11.9441,47.8021,186.056
150,0,0.0140127,-0.0195382,-0.00391343,-12.0812,47.7764,188.69
151,0,0.0107584,-0.0205647,-0.00605767,-12.1366,47.65,191.183
152,0,0.0150238,-0.0194657,-0.00397012,-12.1903,47.588,193.733
153,0,0.0179345,-0.0196868,-0.00246182,-12.136,47.5195,196.219
154,0,0.0187575,-0.0182806,-0.00250302,-12.0763,47.436,198.719
155,0,0.0163641,-0.0187579,-0.00462923,-12.2264,47.2304,201.365
156,0,0.0130322,-0.0220643,-0.00817431,-12.3096,47.0869,204.025
157,0,0.011691,-0.0234285,-0.0100469,-12.2586,46.9915,206.609
158,0,0.0132003,-0.0244181,-0.00928204,-12.2415,46.9157,209.22
159,0,0.0132126,-0.0235053,-0.00956572,-12.1157,46.8028,211.721
160,0,0.0159224,-0.0224013,-0.00749909,-11.978,46.6463,214.19
161,0,0.018808,-0.0237056,-0.00642056,-11.8946,46.5389,216.807
162,0,0.0190992,-0.0246909,-0.00729676,-11.8434,46.4331,219.436
163,0,0.0122898,-0.0248778,-0.0108756,-11.8154,46.261,221.991
164,0,0.00900897,-0.0287696,-0.0128945,-11.9718,46.0871,224.785
165,0,0.00580299,-0.0297589,-0.0134941,-11.9264,45.9376,227.401
166,0,0.00567101,-0.0291963,-0.0119428,-11.9564,45.7274,230.041
167,0,0.00626441,-0.0283067,-0.0105725,-11.8746,45.5029,232.582
168,0,0.0077157,-0.0284877,-0.0116285,-11.5115,45.368,235.021
169,0,0.0116153,-0.0295687,-0.0103894,-11.4783,45.2101,237.633
170,0,0.00866929,-0.0283312,-0.0112428,-11.4302,45.0054,240.166
171,0,0.00759717,-0.0300238,-0.0124083,-11.4918,44.7413,242.922
172,0,0.00603527,-0.0327533,-0.0133527,-11.5774,44.5116,245.625
173,0,0.00535775,-0.0327673,-0.0134608,-11.6007,44.3283,248.261
174,0,0.00191157,-0.0330176,-0.0153193,-11.4832,44.1291,250.791
175,0,0.00503839,-0.0322444,-0.011793,-11.3756,43.9237,253.328
176,0,0.0074387,-0.0295067,-0.00891514,-11.2663,43.7269,255.809
177,0,0.00647642,-0.0314992,-0.00976902,-11.1839,43.6378,258.351
178,0,0.00549118,-0.0312636,-0.0096152,-11.189,43.4119,260.977
179,0,0.00276834,-0.032057,-0.0115742,-11.0993,43.1691,263.56
180,0,0.00257982,-0.0326647,-0.0132061,-11.0488,42.9479,266.128
181,0,-0.000485559,-0.0320124,-0.0152107,-10.8557,42.7782,268.527
182,0,0.00535421,-0.0338546,-0.0118064,-10.7871,42.624,271.136
183,0,0.00292076,-0.0341908,-0.0127278,-10.8457,42.4086,273.744
184,0,0.000545373,-0.0348106,-0.0149319,-10.8182,42.2124,276.244
185,0,-0.000128003,-0.0356548,-0.0142305,-10.7785,42.0335,278.764
186,0,0.000381496,-0.0342361,-0.0130344,-10.5525,41.89,281.119
187,0,0.00446821,-0.0315693,-0.0087152,-10.4966,41.6987,283.51
188,0,0.00434897,-0.0321601,-0.00863681,-10.359,41.5906,285.893
189,0,0.00318288,-0.0321728,-0.0099085,-10.2652,41.4325,288.357
190,0,-0.0049298,-0.0348982,-0.0153866,-10.3249,41.1751,290.847
191,0,-0.00485888,-0.0352935,-0.0143068,-10.3015,41.0028,293.284
192,0,-0.00363318,-0.0341234,-0.0118359,-10.1166,40.8906,295.527
193,0,-0.00318702,-0.0339829,-0.0122072,-10.0601,40.759,297.861
194,0,-0.0064631,-0.0343177,-0.0134671,-10.0578,40.5413,300.204
195,0,-0.00182567,-0.0370803,-0.0145956,-9.98809,40.5474,302.583
196,0,-0.000839613,-0.0345061,-0.0129815,-9.89595,40.4569,304.768
197,0,0.00182652,-0.0355727,-0.00941584,-9.73959,40.3543,306.978
198,0,0.00035964,-0.0367988,-0.0102978,-9.73108,40.2001,309.305
199,0,-0.000265972,-0.0350998,-0.0106637,-9.61072,40.0439,311.381
200,0,0.00427673,-0.0336405,-0.00710195,-9.43015,39.9544,313.414
201,0,0.00556833,-0.0340107,-0.00705213,-9.39365,39.8775,315.572
202,0,0.00059928,-0.0364357,-0.0109765,-9.39887,39.7328,317.745
203,0,0.00259003,-0.0342273,-0.00684888,-9.21032,39.621,319.693
204,0,0.00478143,-0.0343609,-0.00653118,-9.10494,39.5722,321.705
205,0,-0.00150189,-0.0372683,-0.0126298,-9.19375,39.4507,323.834
206,0,0.00199357,-0.0363362,-0.00802011,-9.11323,39.3721,325.811
207,0,-0.00136584,-0.0344575,-0.00788814,-8.9375,39.2259,327.614
208,0,-0.00148644,-0.0375249,-0.0117006,-9.02255,39.1996,329.677
209,0,0.000367367,-0.0370656,-0.010882,-8.93216,39.2061,331.497
210,0,-0.00400279,-0.037964,-0.0116375,-8.84166,39.0778,333.411
211,0,-0.00334888,-0.0375113,-0.0116072,-8.81231,39.0259,335.197
212,0,-0.00135508,-0.0360696,-0.0115696,-8.74328,39.0467,336.886
213,0,-0.00366183,-0.0384734,-0.0101684,-8.69142,38.9719,338.77
214,0,-0.00122208,-0.0354011,-0.00943468,-8.57411,38.9035,340.39
215,0,-0.00282749,-0.0366511,-0.0113103,-8.49599,38.9375,342.052
216,0,-0.00601152,-0.0364951,-0.0121764,-8.3523,38.8714,343.694
217,0,-0.00169466,-0.0343565,-0.0103306,-8.22096,38.8737,345.211
218,0,-0.00267564,-0.0376465,-0.0110794,-8.44264,38.8834,347.098
219,0,0.00265947,-0.035675,-0.00643445,-8.10449,38.8522,348.468
220,0,-0.000147369,-0.0367789,-0.00992227,-8.33128,38.8179,350.174
221,0,0.00281084,-0.0351713,-0.00519504,-8.02545,38.7807,351.548
222,0,0.0022003,-0.0383124,-0.00957728,-8.1074,38.7906,353.244
223,0,0.00385132,-0.0343465,-0.00548803,-7.88284,38.8062,354.453
224,0,0.00262076,-0.0390925,-0.00815742,-8.01273,38.7572,356.108
225,0,0.00450243,-0.0351629,-0.00521543,-7.8115,38.8346,357.348
226,0,0.00184562,-0.0380572,-0.00832655,-7.89937,38.7768,358.858
227,0,0.00472068,-0.0354166,-0.00465801,-7.66596,38.8357,360.014
228,0,0.00192971,-0.037758,-0.00785491,-7.73981,38.8167,361.488
229,0,0.00368402,-0.0352946,-0.00501297,-7.58518,38.8831,362.63
230,0,0.00334666,-0.0377469,-0.00665278,-7.56708,38.8693,363.995
231,0,0.00637664,-0.0373073,-0.00439723,-7.54216,38.9686,365.27
232,0,0.0068698,-0.0376062,-0.00442215,-7.50671,38.9867,366.527
233,0,0.00265202,-0.0374972,-0.0074199,-7.40654,39.0023,367.723
234,0,0.00773886,-0.0374595,-0.00406338,-7.37414,39.0889,368.961
235,0,0.00207317,-0.0377682,-0.00801592,-7.49224,39.0843,370.236
236,0,0.00770369,-0.0374638,-0.00418401,-7.36505,39.1561,371.332
237,0,0.00355206,-0.0371689,-0.00718646,-7.29033,39.2119,372.476
238,0,0.00836914,-0.0375557,-0.00536137,-7.35895,39.2623,373.718
239,0,0.00739707,-0.037532,-0.00472016,-7.28266,39.326,374.769
240,0,0.00610314,-0.0382933,-0.00761855,-7.31149,39.3709,375.981
241,0,0.00804531,-0.0366411,-0.00474045,-7.22512,39.4645,376.978
242,0,0.00830727,-0.0366953,-0.00490422,-7.24933,39.5317,378.106
243,0,0.00920776,-0.0383861,-0.00558364,-7.20799,39.5894,379.226
244,0,0.00913635,-0.0364956,-0.0033234,-7.17095,39.658,380.199
245,0,0.00615392,-0.0374943,-0.00722365,-7.25262,39.6723,381.335
246,0,0.00759681,-0.0367588,-0.00487342,-7.06336,39.8064,382.245
247,0,0.00809783,-0.0365924,-0.00587933,-7.04745,39.9074,383.289
248,0,0.00619442,-0.0383748,-0.00674051,-7.20525,39.9322,384.419
249,0,0.00729052,-0.0344135,-0.00371253,-7.03505,40.0307,385.272
250,0,0.00964382,-0.0370221,-0.00416292,-7.06006,40.1181,386.36
251,0,0.00652896,-0.0374904,-0.00621742,-7.12929,40.1805,387.394
252,0,0.00418634,-0.0338317,-0.00621561,-6.95055,40.2821,388.166
253,0,0.00735599,-0.0369315,-0.00501122,-7.04607,40.2892,389.329
254,0,0.00690251,-0.0366565,-0.00516638,-7.05725,40.4387,390.288
255,0,0.00785374,-0.0351773,-0.00550069,-7.0022,40.544,391.175
256,0,0.00744493,-0.0373656,-0.00526304,-7.07177,40.5253,392.252
